pmodel15,pmodel30,pmodel50,pmodel70,smodel11,smodel23,smodel28,smodel34
0,0,0,0,0.740941214,0.833441789,0.854374215,0.827131778
0,0,0,0,0.833458993,0.90132944,0.900120139,0.908048056
0.385004145,0.46328223,0.409048684,0.502106484,0.890988931,0.913952219,0.908741123,0.906710766
0,0,0,0,0.59375209,0.810927375,0.830065561,0.781047076
0,0,0,0,0.875557694,0.909749005,0.909830821,0.909327015
0.198445412,0.434084776,0.45926278,0.418055306,0.273212107,0.85686407,0.880609045,0.873143254
0,0,0,0,0.830928909,0.872794059,0.873137484,0.838758731
0,0,0,0,0.691223113,0.825122056,0.84957746,0.87065102
0,0,0,0,0.78415196,0.89088447,0.893802067,0.89457002
0.339344704,0.349940055,0.17971518,0.377612677,0.062371136,0.61710796,0.74874827,0.790511642
0.197814854,0.17129398,0.129938491,0.060146746,0.768579876,0.755961791,0.785505819,0.767988097
0.480323011,0.409633143,0.386630369,0.606432729,0.136064163,0.890212481,0.749167427,0.893317759
0.182268494,0.192356374,0.070263944,0.293888556,0.38591468,0.687020582,0.756444498,0.799201566
0,0,0,0,0.647199948,0.866865023,0.858606401,0.867179291
0.176026656,0.316534233,0.361057518,0.40935383,0.723912811,0.865882624,0.857684131,0.853801673
0.3102088,0.215214483,0.400086827,0.559837793,0.476952921,0.734666355,0.758950762,0.778349926
0,0,0,0,0.478226198,0.5089395,0.55784725,0.609945474
0.238701119,0.449828005,0.461943306,0.465757662,0.727707296,0.788520433,0.803144998,0.820035923
0.256935325,0.318542696,0.135300429,0.449449056,0.630346816,0.739532682,0.774913667,0.796837599
0,0,0,0,0.841247489,0.856110777,0.850233259,0.846267867
0.356610624,0.271534233,0.082677302,0.257205869,,,,
0,0,0,0,,,,
0.237685933,0.262755102,0.359331888,0.173436878,,,,
0,0,0,0,,,,
0.098152075,0.22559458,0.059866724,0.262687861,,,,
0,0,0,0,,,,
0.312701867,0.496265813,0.614891737,0.550514632,,,,
0.304584505,0.386097053,0.280451903,0.464183767,,,,
0.337743302,0.516865133,0.485898024,0.542992061,,,,
0.286120017,0.064149845,0.005069289,0.178088638,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0.372286924,0.355772847,,,,
0,0,0,0,,,,
0.353901916,0.291320343,0.232455069,0.284544734,,,,
0,0,0,0,,,,
0.130603485,0,1.62E-05,0.065095431,,,,
0.265612206,0.339742072,0.2753758,0.362321174,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.238461856,0.004399733,0.00244604,0.103124405,,,,
0.243094451,0.235695143,0.233639462,0.234007538,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.156645143,0.109152755,0.132471342,0.217592726,,,,
0.047490485,0,0,0.027370257,,,,
0,0,0,0,,,,
0.400952405,0.465238199,0.441273684,0.610056962,,,,
0.311052993,0.248889711,0.360910498,0.344034271,,,,
0.387236638,0.475778762,0.444818842,0.5417839,,,,
0.146533149,0.235796469,0.061216662,0.322723884,,,,
0.349309308,0.147438485,0.289262537,0.197463036,,,,
0,0,0,0,,,,
0.159806503,0.023645774,0,0.016862624,,,,
0,0,0,0,,,,
0.222474374,0.291196835,0.284298484,0.334189598,,,,
0.111661982,0.116314706,0.184318499,0.302632836,,,,
0.247992255,0.379233532,0.41358619,0.42453239,,,,
0,0,0,0,,,,
0.34928741,0.42772885,0.523388969,0.510739913,,,,
0,0,0,0,,,,
0.129146619,0.148411181,0.098410495,0.336598225,,,,
0,0,0,0,,,,
0.543060047,0.416207646,0.408168343,0.562438436,,,,
0,0,0,0,,,,
0.370729925,0.325916469,0.159699503,0.445982477,,,,
0.324114856,0.41088917,0.389516846,0.386657499,,,,
0.397222047,0.565921977,0.592069001,0.535510321,,,,
0,0,0,0,,,,
0.350614377,0.319555646,0.401452765,0.39892634,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.377854684,0.063884117,0.159368397,0.251078044,,,,
0.27340234,0.489378079,0.488149351,0.468352012,,,,
0.223769562,0.545168067,0.499213103,0.462007685,,,,
0.192155691,0.129718164,0.089118573,0.209986803,,,,
0.296714808,0.218771158,0.104041712,0.251497365,,,,
0.311525169,0.45726193,0.504280865,0.482223489,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.388017994,0.434218793,0.414570067,0.426194397,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.267663153,0.471105561,0.38682047,0.413797085,,,,
0.139671242,0.280070813,0.192533459,0.395686597,,,,
0.282197602,0.544946846,0.375447768,0.592408845,,,,
0.349982439,0.576761807,0.628864929,0.595186844,,,,
0,0,0,0,,,,
0.384131937,0.630557823,0.469657318,0.448968522,,,,
0.335899103,0.543668062,0.47576861,0.616559882,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.063783383,0.087912088,0.001132236,0.169517294,,,,
0,0,0,0,,,,
0.126275821,0.250300684,0.291025208,0.366430411,,,,
0.337069245,0.369868736,0.270577743,0.38866108,,,,
0,0,0,0,,,,
0.343330082,0.19290261,0.090215477,0.277970893,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.195360337,0.313641127,0.206633583,0.378117362,,,,
0.367294215,0.473726809,0.573635017,0.639741985,,,,
0.202032144,0.172473996,0.203507859,0.407469998,,,,
0,0,0,0,,,,
0.114367707,0.003712157,0,0.064605028,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.405891199,0.578837801,0.601831085,0.687332029,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.342591015,0.533900042,0.565679612,0.533159907,,,,
0,0,0,0,,,,
0.526193394,0.567957574,0.528844646,0.632818793,,,,
0.164058694,0.276997464,0.364267688,0.241341159,,,,
0.331407442,0.464227228,0.51001481,0.563789132,,,,
0.274709548,0.172084209,0.112363084,0.316299559,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.166251962,0.102304743,0.274685891,0.312721187,,,,
0.464380265,0.53794964,0.577237268,0.669394619,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.181072359,0.292949798,0.126077774,0.316945188,,,,
0.342477357,0.38740307,0.423889839,0.436247879,,,,
0.105295562,0.278883779,0,0.420259493,,,,
0.236507104,0.369688016,0.153990515,0.329107917,,,,
0.112458686,0.074653845,0.08269516,0.167211234,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.390700713,0.376589605,0.430015262,0.498062999,,,,
0,0,0,0,,,,
0,0,0,0,,,,
0.323788607,0.27744389,0.003096604,0.240509793,,,,
