spleen_times,pancreas_times,amt_labels
30.04,-,1
33.39,-,2
11.12,13.26,3
21.3,8.44,4
17.22,6.57,5
19.24,10.47,6
18.15,21.4,7
12.44,5.05,8
8,8,9
12.38,11.04,10
12,20,11
6.34,9.09,12
8.53,11.02,13
10,14.4,14
16.14,-,15
13.28,-,16
11.31,-,17
8.23,-,18
30.23,-,19
6.55,-,20
10.08,8.59,21
10.38,9,22
4.02,6.09,23
11.09,12.01,24
6.57,8.55,25
8.12,-,26
3.54,-,27
6.4,5.44,28
5.17,4.52,29
5.56,7.37,30
6.19,7.53,31
6.58,-,32
4.49,6.24,33
8.4,13.34,34
,10.18,35
,9.19,36
,9.27,37
,-,38
,7.28,39
,-,40
,6.3,41
,-,42
,11.27,43
,12.06,44
,-,44
,11.04,46
,6.44,47
,4.47,48
,9.29,49
,12.36,50
,9.3,51
,9.42,52
,10.05,53
,8.35,54
,4,55
,8.46,56
,7.57,57
,11.25,58
,6.13,59
,10.24,60
,8.55,61
,3.32,62
,5.4,63
,8.06,64
,6.41,65
,4.39,66
,6,67
,6,68
,9,69
,4.3,70
